FID;Naiset;Miehet;Ko_perus;Ko_yliop;Ko_ammat;Ko_al_kork;Ko_yl_kork;Tp_tyopy;Ra_pt_as;Ra_kt_as;Ra_muu_as;Pt_tyoll;Pt_tyott;Viipyma_arki;Viipyma_vkl;AC_laturit;DC_laturit;count_Acc_First;count_Business_First;count_Eat_First;count_Gov_First;count_Health_First;count_Leisure_First;count_Shop1_First;count_Shop2_First;count_Sport_First;count_Tourism_First;count_Trans_First;KAC_First;KDC_First;Kvl2_First;Hr_mtu_First;Kika2_First;Te_takk2_First;Pistokkeet
457;41;41;7;14;14;19;19;164;25;23;1;45;3;462;101;2;0;2;14;10;6;3;2;0;37;2;0;21;101;16;;27579;37,95;1,86;2
458;14;12;10;1;12;5;0;16;15;3;1;10;1;438;351;2;0;0;3;3;1;0;1;0;10;1;0;7;4;0;5367;20143;51,23;1,66;2
459;55;53;16;12;32;21;15;122;21;61;1;55;6;0;0;2;0;0;10;13;5;2;5;0;42;4;0;28;44;3;30825;23343;38,29;1,54;2
460;109;87;38;11;64;41;21;81;17;122;6;75;12;1130;856;2;0;1;16;21;6;11;5;0;40;0;0;31;27;4;11690;21063;50,09;1,49;2
461;55;56;11;20;22;24;22;216;25;48;1;61;6;462;101;2;0;2;14;10;7;3;2;0;37;2;0;22;101;16;;23119;37;1,76;2
462;57;49;25;4;42;17;6;61;15;49;3;40;5;402;282;2;0;1;11;11;8;8;5;0;27;1;1;14;23;5;18779;20030;47,56;1,71;2
463;58;56;16;13;33;23;16;115;26;62;1;57;7;1511;152;2;0;0;10;12;5;2;5;0;36;4;0;27;52;7;30825;23343;38,7;1,55;2
464;41;39;14;3;29;14;5;16;24;22;0;37;4;1010;841;2;0;0;7;8;8;1;0;2;26;0;0;27;26;11;11008;24034;43,47;1,85;2
465;29;24;20;2;21;8;3;64;16;16;1;19;2;1029;705;1;1;0;5;3;7;8;0;1;29;0;1;34;11;6;;18341;55,2;1,65;2
466;15;17;7;1;14;5;2;27;21;1;1;13;1;885;522;1;1;0;5;2;2;0;0;2;22;0;0;11;16;8;7031;18924;44,09;1,86;2
467;76;66;22;11;36;38;25;65;19;76;1;70;7;2127;1326;1;1;1;7;4;0;5;0;0;21;0;0;19;9;4;;24452;47,26;1,73;2
468;35;35;11;7;26;16;9;56;13;32;1;40;5;1173;854;1;1;0;6;5;2;1;1;0;25;0;2;25;20;8;;21993;44,07;1,69;2
469;94;79;55;5;67;18;5;23;24;96;2;47;14;1186;672;2;0;0;0;4;1;1;0;0;7;0;0;18;22;2;;17582;50,15;1,5;2
470;206;181;41;80;97;87;48;110;6;272;3;181;18;3377;2333;1;1;2;14;21;8;6;8;0;71;7;0;29;40;5;29714;18967;37,07;1,46;2
471;56;45;29;4;35;16;5;52;19;52;1;31;4;3846;3312;1;1;1;7;7;5;5;2;0;17;0;1;20;5;0;10651;18705;54,14;1,57;2
472;18;16;13;1;16;5;1;12;16;9;3;13;2;592;479;1;1;3;6;4;7;1;0;0;21;0;1;18;1;0;1501;18461;54,69;1,52;2
473;25;21;8;2;12;10;6;42;20;6;0;20;1;188;0;1;1;1;5;3;6;9;2;1;8;0;1;8;8;5;10216;25125;49,51;1,93;2
474;57;50;23;4;41;18;7;52;22;40;2;42;5;402;282;2;0;1;11;11;8;8;5;0;27;1;1;14;23;5;18779;21057;46,4;1,79;2
475;83;73;33;8;51;30;13;56;19;101;1;61;11;2220;1341;2;0;0;3;10;4;3;1;1;42;4;4;25;34;9;26270;20961;46,22;1,55;2
476;43;30;25;3;32;15;3;46;21;46;2;30;3;514;387;1;1;0;12;4;7;10;1;1;33;1;0;9;9;1;13205;17082;55,06;1,48;2
477;40;39;8;3;27;14;9;11;31;10;0;39;2;1450;1114;2;0;0;0;1;1;0;0;0;10;0;0;10;4;0;6555;26747;40,21;2,2;2
478;90;66;40;10;63;33;11;45;10;96;1;48;9;614;136;2;0;0;13;10;7;6;1;1;37;0;3;17;19;0;9989;19519;47,89;1,54;2
479;152;125;60;16;98;46;20;57;14;161;7;101;18;542;141;1;1;1;6;16;7;5;1;1;25;2;0;23;31;4;37403;19550;46,85;1,59;2
480;39;39;12;3;21;23;15;7;28;20;0;39;3;731;593;2;0;0;1;1;1;0;0;0;9;0;0;7;20;2;;26480;47,97;2,02;2
481;38;36;25;4;35;16;4;35;12;56;2;34;3;317;218;1;1;4;10;16;5;6;6;1;52;2;3;14;11;6;8481;20509;53,79;1,45;2
482;32;32;9;3;18;12;8;12;26;6;0;29;2;1154;944;2;0;0;0;3;1;0;1;0;9;0;1;8;14;0;6555;27770;45,76;2,13;2
483;92;79;47;9;60;31;13;32;20;82;0;70;13;1208;836;0;2;0;4;2;4;3;1;0;16;0;0;21;29;5;;21518;48,51;1,78;2
484;10;10;5;1;14;5;1;11;12;0;0;15;0;1513;1331;1;1;0;4;2;1;1;0;0;10;0;0;8;2;5;6784;23902;42,71;1,94;2
485;3;4;1;0;2;2;1;11;3;0;0;5;0;1956;1682;2;0;1;5;3;0;0;0;0;10;0;0;4;7;3;8462;32839;37,89;2,88;2
486;81;56;38;5;46;29;11;82;12;108;4;36;4;977;470;1;1;7;13;17;9;8;1;0;62;0;1;12;10;1;14835;21662;61,04;1,47;2
487;2;2;0;0;2;1;0;35;3;0;0;3;0;653;577;1;1;0;3;3;0;1;1;0;4;0;0;12;23;4;19504;28540;43,68;2,1;2
488;17;17;4;1;11;6;3;3;15;0;0;17;1;718;581;2;0;0;0;0;1;0;0;0;1;0;0;2;2;0;2778;26990;38,52;2,25;2
489;29;29;7;4;16;14;9;51;23;10;0;31;3;642;383;0;2;0;7;7;3;3;1;0;16;0;0;28;45;15;;26597;43,88;2,09;2
490;57;54;17;8;33;22;15;56;20;50;1;54;6;1173;854;2;0;0;7;5;3;3;1;0;27;0;2;27;20;9;;22307;44,81;1,73;2
491;19;17;6;1;11;9;4;33;19;1;1;19;1;2053;1668;2;0;0;1;1;0;0;0;0;8;0;0;14;17;8;26270;26702;44,41;2,1;2
492;13;10;8;1;8;3;1;11;9;16;0;7;1;305;0;2;0;0;5;1;0;0;0;2;15;0;0;4;12;11;8931;17851;54,86;1,56;2
493;26;19;16;1;24;10;2;45;16;19;2;16;2;1547;803;2;0;1;4;7;5;6;0;0;13;0;2;7;3;0;12329;18801;59,38;1,57;2
494;44;30;27;5;37;14;4;45;10;44;10;29;5;1770;914;2;0;3;16;17;9;15;3;2;54;1;4;12;16;9;3669;16821;52,67;1,42;2
495;14;14;3;2;12;12;6;22;15;0;1;25;2;1066;644;2;0;2;3;2;0;1;0;0;11;0;0;9;6;6;11010;29131;42,68;2,25;2
496;62;48;28;5;45;23;9;108;14;64;1;43;4;2842;2269;2;0;0;9;13;5;7;1;0;28;1;3;7;27;11;11008;21276;50,21;1,59;2
497;16;13;9;1;10;5;1;27;8;13;1;8;1;807;513;1;1;1;11;7;6;4;1;0;20;1;1;8;1;0;3589;19887;56,22;1,49;2
498;67;70;40;8;61;25;10;67;11;90;0;72;14;830;665;2;0;0;6;8;5;0;1;0;36;0;0;12;32;14;30825;19097;43,42;1,77;2
499;204;178;54;61;91;88;66;1143;0;335;20;193;20;8971;9139;2;0;18;81;360;20;80;101;4;539;10;14;71;86;23;32452;21246;43,29;1,5;2
500;15;13;6;1;12;3;1;24;18;3;0;10;1;567;316;1;1;0;4;4;2;0;0;2;5;1;0;8;1;0;10097;19871;47,78;1,66;2
501;274;234;68;90;117;117;83;852;0;406;7;246;26;3114;2307;2;0;17;62;244;28;54;70;3;360;7;8;54;89;14;26798;21242;42,39;1,43;2
502;64;48;35;3;41;18;5;114;4;72;6;25;4;3280;1956;2;0;0;16;27;9;12;11;2;85;6;5;22;25;0;6814;19377;61,27;1,38;2
503;4;5;1;0;2;3;1;13;4;0;0;6;0;1956;1682;2;0;1;4;2;0;0;0;0;10;0;0;5;7;3;8462;30694;41,67;2,69;2
504;16;16;6;5;11;6;2;90;5;17;0;17;2;4885;4257;2;0;0;22;24;1;9;0;1;58;0;1;23;54;11;22304;17854;33,65;1,52;2
505;24;18;5;4;11;10;6;7;8;18;0;17;2;905;781;2;0;0;0;3;2;0;1;0;3;2;0;8;12;2;20636;21299;46,08;1,71;2
506;287;251;72;82;127;125;98;714;0;408;22;268;30;8971;9139;0;2;13;78;357;17;83;116;5;611;9;22;72;85;18;32452;20775;43,59;1,48;2
507;71;61;28;11;43;26;10;214;29;86;0;49;9;942;594;2;0;1;8;3;7;7;1;0;22;3;0;30;36;10;18730;19286;48,22;1,45;2
508;52;51;15;6;30;19;10;71;11;53;0;49;7;692;437;2;0;0;5;17;4;6;0;4;43;2;0;23;38;10;53495;22417;37,99;1,96;2
509;37;30;14;4;18;13;7;64;20;23;3;26;2;1283;783;0;2;3;12;26;12;11;9;1;44;0;7;12;8;4;10216;22203;51,07;1,78;2
510;6;8;2;1;3;4;1;70;6;0;1;7;1;2053;1668;2;0;0;15;5;0;3;0;2;41;0;0;21;17;8;26270;26828;40,43;2,34;2
511;39;38;18;2;25;14;4;7;32;12;0;29;4;258;70;1;1;0;0;0;3;1;0;0;6;0;0;15;26;7;13025;21909;47,54;1,93;2
512;1;1;0;0;0;0;0;60;0;0;1;0;0;664;313;2;0;0;8;4;0;2;0;2;37;0;0;8;11;9;18730;0;48,11;0;2
513;35;29;24;1;31;11;3;36;19;34;6;21;3;1213;806;2;0;3;16;6;7;10;0;2;42;1;3;18;7;2;3340;17273;59,52;1,36;2
514;47;42;30;3;34;12;4;42;24;40;1;30;8;1014;666;2;0;0;6;7;4;2;0;1;31;0;0;15;33;8;13025;18516;48,98;1,57;2
515;125;107;48;13;81;38;17;47;15;128;6;88;15;2451;2117;2;0;0;5;15;6;3;1;1;25;2;0;22;31;5;37403;20153;45,57;1,61;2
516;108;99;52;14;83;36;15;61;16;134;1;88;18;1862;1087;2;0;0;5;11;7;4;0;2;33;0;0;24;12;2;8906;19283;45,35;1,57;2
517;63;61;22;5;40;19;9;37;20;45;0;51;9;992;620;2;0;0;0;4;5;3;1;0;10;0;0;32;12;2;11576;24383;40,23;1,98;2
518;26;26;7;2;12;12;9;10;22;0;0;27;2;1375;1129;2;0;0;3;2;0;0;0;0;6;0;0;7;13;6;28033;27498;39,8;2,56;2
519;84;77;22;17;49;45;24;332;0;119;0;97;11;2101;925;0;2;3;9;12;3;3;2;0;19;0;0;17;90;21;32723;23641;40,68;1,55;2
520;101;92;25;19;56;52;27;279;0;144;0;112;13;2101;925;0;2;3;5;12;3;3;2;0;17;0;0;14;90;21;32723;23641;40,7;1,55;2
521;35;29;18;3;19;13;5;154;20;26;0;22;2;1017;718;2;0;0;8;4;3;8;5;2;20;1;1;10;30;10;12960;22991;55,47;1,7;2
522;0;0;0;0;0;0;0;3;0;0;0;0;0;343;352;0;2;2;0;5;0;0;3;0;0;0;2;4;2;0;8977;0;72;0;2
523;67;66;19;7;40;28;15;16;26;59;0;63;6;732;548;2;0;1;0;3;5;0;0;0;12;2;0;8;22;10;9094;23183;41,81;1,81;2
524;65;66;19;7;38;26;15;15;24;56;0;61;5;1100;696;2;0;1;0;3;5;0;0;0;14;2;0;8;22;10;9094;23183;41,24;1,88;2
525;21;17;16;1;20;6;2;7;28;5;2;13;1;835;599;2;0;0;7;4;2;4;1;0;9;0;1;7;2;0;2248;17033;59,28;1,4;2
526;13;11;10;1;12;5;0;15;14;3;1;10;1;438;351;2;0;0;3;3;1;0;1;0;10;1;0;7;4;0;5367;20143;51,11;1,66;2
527;33;26;24;2;24;10;3;44;11;39;2;18;4;1158;651;2;0;1;6;13;10;5;3;1;41;2;3;13;8;1;7177;17722;53,5;1,43;2
528;65;62;13;6;29;29;24;42;30;30;0;68;4;743;637;2;0;1;3;12;3;7;0;2;36;2;0;16;20;10;42271;28309;37,62;2,25;2
529;119;109;31;14;69;52;30;17;31;116;0;119;16;1931;1437;0;2;2;1;7;5;5;3;0;34;1;1;19;30;5;41070;23424;39,7;1,78;2
530;31;34;4;3;12;14;15;17;24;0;0;37;0;1762;685;2;0;0;3;0;2;1;0;0;4;0;0;6;35;8;6895;30880;35,18;3,01;2
531;0;0;0;0;0;0;0;8;0;0;0;0;0;424;308;0;2;3;1;1;0;0;0;0;0;0;1;2;2;2;3711;0;44;0;2
532;11;11;11;0;15;4;1;6;19;0;0;15;1;861;719;2;0;0;1;1;3;3;0;0;5;0;2;11;2;0;1930;20177;51,03;1,66;2
533;0;0;0;0;0;0;0;25;0;0;0;0;0;2657;986;2;0;0;0;1;0;0;0;0;1;0;0;0;12;0;;0;0;0;2
534;29;28;6;1;16;12;8;4;24;1;0;29;2;430;344;2;0;0;2;1;1;0;0;0;8;0;0;13;2;0;3213;28513;37,02;2,48;2
535;47;41;18;2;31;20;7;22;31;15;0;38;4;493;357;2;0;0;1;1;4;2;0;0;5;0;0;18;6;0;1419;22701;48,67;1,91;2
536;8;5;6;0;6;1;1;11;2;16;0;4;1;305;0;0;2;1;3;1;0;0;0;2;16;0;0;5;10;9;8931;16005;52,99;1,33;2
537;24;21;17;2;16;6;1;18;17;16;2;15;2;941;686;2;0;0;10;6;5;4;2;0;23;1;2;9;8;0;4680;18510;53,2;1,63;2
538;0;0;0;0;0;0;0;0;0;0;0;0;0;269;258;2;0;1;0;0;0;0;0;0;1;0;0;0;2;0;;0;0;0;2
539;78;80;48;10;46;20;11;77;15;81;0;61;19;934;683;2;0;0;9;4;2;6;1;0;27;0;0;19;12;13;28865;17238;40,96;1,87;2
540;0;0;0;0;0;0;0;2;0;0;0;0;0;429;457;2;0;1;0;1;0;1;6;0;1;1;0;7;8;1;3143;0;66;0;2
541;28;23;18;2;22;6;2;42;12;20;5;23;3;1340;814;2;0;1;18;10;9;15;2;3;57;0;4;14;13;0;8749;19734;51,61;1,62;2
542;24;29;12;2;21;8;2;2;19;18;1;23;3;777;491;2;0;1;0;1;0;0;0;0;5;0;1;10;9;2;9110;22330;46,21;1,74;2
543;6;6;2;1;4;5;5;4;6;0;0;11;1;1228;945;2;0;0;0;0;1;0;0;0;3;0;0;10;4;0;5081;30850;39,85;2,83;2
544;164;130;63;29;105;80;39;196;6;254;4;135;21;3734;2789;2;0;5;31;82;21;31;29;1;190;2;10;33;36;2;26270;20813;50,12;1,38;2
545;17;16;12;1;19;7;1;5;22;5;0;13;3;1144;830;2;0;2;0;2;2;0;0;0;7;0;0;7;2;0;3626;18731;51,88;1,76;2
546;12;12;2;1;6;6;4;42;9;2;1;13;0;2793;2349;1;1;0;10;7;0;3;0;2;21;0;0;11;2;0;18055;29666;38,17;2,42;2
547;58;49;24;3;38;20;8;27;32;28;0;43;7;493;357;2;0;0;1;1;7;3;0;0;6;0;0;18;8;0;1419;22077;46,72;1,84;2
548;25;24;15;2;20;9;2;30;18;27;0;20;3;1000;681;0;2;0;5;6;5;6;2;0;23;1;1;10;4;0;5197;20675;53,02;1,59;2
549;6;6;3;0;8;3;1;3;6;0;0;10;1;384;303;2;0;2;0;0;2;0;0;0;2;0;1;4;2;0;2978;24637;40,45;;2
550;138;116;50;18;89;51;20;106;12;177;6;105;18;2812;2108;2;0;1;17;43;14;15;4;5;139;3;4;29;32;2;26270;20695;47,36;1,46;2
551;24;22;5;2;13;16;9;4;21;1;0;34;3;610;557;2;0;0;0;0;1;0;0;0;2;0;0;6;13;8;5268;28735;35,21;2,87;2
552;36;34;10;2;20;13;9;6;27;7;0;32;3;975;622;2;0;0;0;3;3;0;0;0;2;1;1;21;2;2;13868;24310;41,5;2,19;2
553;40;38;12;4;28;18;9;38;28;14;0;39;3;2410;1244;2;0;0;5;3;5;3;0;0;25;1;0;13;4;0;17063;25749;44,72;2,08;2
554;19;18;11;1;16;8;2;23;10;12;2;16;2;757;670;2;0;1;3;5;2;4;4;0;10;1;1;5;2;4;3473;24789;46,94;1,75;2
555;35;39;27;11;15;15;9;57;25;13;2;34;3;1344;714;2;0;0;9;3;3;0;0;0;12;0;0;9;24;2;24838;15466;33,99;1,89;2
556;5;5;5;0;5;1;0;4;8;0;0;3;2;588;526;2;0;0;1;0;1;0;0;0;3;0;1;5;2;0;1750;18101;55,11;1,2;2
557;62;58;30;5;43;21;6;18;22;51;0;47;8;689;555;2;0;0;2;4;3;4;1;0;8;0;1;22;24;8;26270;21170;45,4;1,71;2
558;3;3;1;0;2;1;1;22;2;0;0;4;0;742;474;2;0;0;0;0;1;0;0;0;2;0;0;9;4;0;9697;28537;36,86;2,7;2
559;70;57;34;6;49;24;8;109;16;81;1;43;4;2842;2269;0;2;1;16;24;7;12;3;0;64;1;4;19;27;9;11008;20215;52,26;1,54;2
560;77;60;32;6;46;30;15;66;17;77;4;43;5;1384;809;2;0;2;12;25;5;5;7;0;45;1;4;10;4;0;13868;19280;54,28;1,57;2
561;30;33;21;3;24;10;4;36;12;46;0;26;9;0;0;0;2;1;1;3;0;0;0;0;8;0;0;14;5;0;8486;17568;45,83;1,55;2
562;16;14;10;1;15;5;1;4;23;0;0;14;2;201;238;2;0;0;0;0;2;2;2;0;1;0;2;10;2;0;1197;24248;50,42;1,79;2
563;4;4;2;1;4;1;0;2;4;0;0;6;0;412;327;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;933;24475;41,48;0;2
564;78;66;35;4;51;21;6;33;31;54;2;47;13;488;330;2;0;0;2;4;7;8;2;0;7;1;1;11;14;0;;18922;45,12;1,71;2
565;15;21;3;1;5;12;4;0;12;0;0;17;0;1210;843;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18055;32313;37;3;2
566;8;8;3;0;9;4;1;2;8;0;0;10;0;744;587;2;0;1;0;0;1;0;0;0;1;0;0;6;2;0;1361;26649;41,4;2,16;2
567;108;83;59;9;74;32;9;142;9;136;5;56;9;2155;1372;2;0;1;15;35;11;18;4;0;75;1;3;19;31;11;;18428;54,05;1,46;2
568;14;14;8;1;14;4;1;5;11;7;0;13;2;849;898;2;0;1;3;1;4;4;2;0;11;0;2;6;2;0;2328;22044;49,4;1,91;2
569;30;25;13;3;22;11;3;32;15;24;0;22;4;1971;1608;0;2;0;5;3;1;0;0;1;18;1;0;8;32;10;;20618;53,61;1,53;2
570;57;52;20;11;42;26;5;57;29;57;0;53;6;1529;1227;2;0;0;7;14;2;3;2;1;35;0;0;13;24;9;19290;19691;38,5;1,64;2
571;16;13;5;1;11;6;3;25;15;4;2;12;2;852;566;2;0;2;5;6;4;6;5;1;24;0;1;6;7;0;6424;24509;42,06;2,02;2
572;324;241;82;89;165;128;65;496;3;445;8;233;29;5941;3554;2;0;10;41;129;31;66;43;5;310;3;17;48;38;10;;19607;44,54;1,39;2
573;168;153;42;63;80;79;37;363;1;258;17;137;20;1355;860;2;0;11;39;107;15;42;33;1;203;4;2;30;48;15;34044;19268;39,89;1,4;2
574;2;2;1;0;1;0;0;6;3;0;0;2;0;166;0;2;0;0;0;0;0;0;0;0;0;0;0;3;2;0;11327;19292;44,06;1,5;2
575;27;23;16;1;22;8;3;35;24;15;4;18;3;1238;880;2;0;1;10;7;11;5;2;1;44;0;3;7;15;3;5992;18164;49,29;1,58;2
576;0;0;0;0;0;0;0;9;2;0;0;0;0;1819;1376;2;0;0;0;1;0;0;0;0;0;0;0;2;2;0;4418;0;0;0;2
577;4;4;2;0;6;2;0;28;5;0;0;5;5;563;321;2;0;0;0;1;0;0;0;0;0;0;0;5;2;0;2068;16083;38,48;;2
578;198;199;78;79;89;76;36;299;2;282;18;181;19;3471;2073;2;0;12;43;105;18;26;19;3;229;2;3;50;92;11;13583;18747;39,31;1,49;2
579;144;131;38;57;56;65;41;272;1;226;15;123;7;1342;702;2;0;9;34;93;19;24;32;3;164;3;13;35;71;3;;20189;44,21;1,45;2
580;26;30;19;2;18;8;2;28;17;19;4;23;3;617;312;2;0;1;5;3;0;1;2;0;7;0;0;6;25;2;2461;19762;45,15;1,86;2
581;53;49;28;6;41;20;7;90;11;62;3;44;8;390;0;2;0;1;19;11;8;6;5;0;56;1;2;21;51;10;13329;19245;45,27;1,58;2
582;79;74;39;10;52;28;10;216;6;100;18;56;9;1154;833;2;0;9;40;58;12;15;12;3;183;1;5;23;57;20;13329;19622;45,12;1,52;2
583;8;7;2;1;6;3;1;79;10;3;1;9;1;1737;202;2;0;0;8;13;0;3;2;1;45;0;1;7;42;27;7973;23041;44,33;1,57;2
584;18;18;13;0;16;6;2;16;13;5;1;14;2;491;235;2;0;0;4;3;4;4;0;0;11;0;2;11;2;0;3016;18671;45,89;2,08;2
585;16;15;5;1;10;5;2;77;6;11;0;11;2;2027;1170;0;2;0;5;4;5;0;2;1;16;0;0;18;25;0;12934;23717;42,66;2,05;2
586;27;23;15;1;20;8;2;24;24;14;3;16;2;1238;880;2;0;1;10;8;5;5;1;1;45;0;2;7;15;3;5992;18164;49,36;1,62;2
587;17;15;9;1;10;6;2;32;16;0;1;11;0;590;276;2;0;0;1;1;5;6;1;1;5;0;1;2;13;3;3549;19851;51,87;1,95;2
588;15;17;3;1;8;9;6;28;11;2;0;17;0;1000;739;2;0;0;7;2;3;3;0;0;16;0;0;7;15;15;18934;28721;40,62;2,51;2
589;113;100;46;14;70;40;17;189;21;128;15;80;12;3338;2229;2;0;10;35;57;12;13;12;2;169;3;6;27;53;18;13329;19622;45,88;1,57;2
590;10;12;7;1;8;5;2;15;11;0;0;12;0;1328;708;2;0;0;3;3;3;0;1;0;5;4;0;1;5;0;3217;22012;46,69;2,19;2
591;2;2;0;0;0;0;0;12;0;0;0;0;0;351;265;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;275;0;28,5;0;2
592;78;65;44;9;47;34;12;163;14;89;16;55;6;2332;1436;2;0;9;23;45;14;24;14;2;96;1;7;9;26;2;6138;20354;53,11;1,51;2
593;35;32;23;3;27;13;5;94;10;33;3;29;6;390;0;2;0;1;18;5;4;5;2;0;46;0;0;13;49;10;13329;18299;46,29;1,62;2
594;192;191;72;84;82;75;39;293;2;292;18;178;15;3471;2073;2;0;12;45;116;21;32;27;4;234;3;11;48;90;11;2305;18630;39,28;1,47;2
595;4;4;1;0;2;2;0;6;5;0;0;4;0;519;310;2;0;0;1;1;0;0;0;0;9;0;0;3;13;3;5992;26813;39,18;2,46;2
596;0;1;0;0;0;0;0;315;1;0;0;0;0;2663;753;2;0;0;10;6;0;1;0;1;5;0;0;8;20;0;520;0;35;0;2
597;106;95;47;14;65;40;15;195;16;137;19;76;10;3338;2229;2;0;10;37;62;15;13;13;3;173;2;6;24;53;18;13329;19622;45,38;1,52;2
598;72;62;34;9;53;25;10;81;23;69;2;62;9;554;369;2;0;1;5;6;9;6;2;1;23;0;0;13;49;20;13329;20670;44,29;1,65;2
599;82;76;37;10;54;29;11;203;8;104;15;57;9;3338;2229;2;0;9;41;59;11;14;11;3;188;1;5;25;54;18;13329;19622;45,51;1,52;2
600;12;11;8;0;9;4;1;20;16;0;1;8;1;1117;760;2;0;1;3;1;7;6;0;0;10;0;1;8;2;0;3159;22303;46,19;1,84;2
601;9;8;4;1;7;4;2;27;10;2;1;10;1;973;599;2;0;2;1;7;3;3;3;0;21;1;5;10;10;0;7492;24626;45,65;1,69;2
602;20;16;11;1;16;8;2;40;14;16;3;15;1;973;599;2;0;3;12;15;7;6;4;3;49;1;5;7;10;0;4696;18787;53,43;1,6;2
603;24;20;14;1;17;8;2;61;16;7;5;15;1;590;276;2;0;1;8;7;6;9;2;0;34;0;2;4;15;3;5992;19331;51,48;1,65;2
604;88;81;35;21;54;41;12;148;23;109;1;75;7;1815;935;2;0;2;8;13;17;14;4;0;32;1;0;25;24;9;19290;19691;41,79;1,56;2
605;85;72;30;19;56;36;12;273;10;144;10;64;8;3523;2249;2;0;7;39;75;19;36;18;5;179;0;6;27;37;20;19290;19860;45,4;1,4;2
606;0;0;0;0;0;0;0;9;0;0;0;0;0;1190;741;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;2021;0;0;0;2
607;60;53;17;22;35;30;11;197;1;106;1;52;7;1224;838;0;2;1;18;17;5;1;1;1;48;1;0;9;52;15;34044;17614;37,89;1,32;2
608;12;11;7;1;7;4;1;22;12;2;2;9;1;490;359;2;0;0;3;3;4;7;1;0;13;0;2;3;2;0;3485;19064;53,21;1,72;2
609;6;8;1;1;6;3;0;2;6;0;0;8;1;837;758;2;0;0;0;0;2;0;0;0;0;0;0;3;2;0;1262;27598;38,98;1,6;2
610;1;1;0;0;0;0;0;1;0;0;0;0;0;503;546;2;0;5;0;1;0;0;1;0;1;0;0;0;2;0;;0;36,17;0;2
611;13;14;7;1;13;6;1;18;17;1;1;10;1;775;543;2;0;1;2;2;4;2;1;0;7;0;0;8;2;0;2021;19915;48,52;1,7;2
612;9;11;8;0;12;2;1;1;20;0;1;5;1;502;387;0;2;0;2;0;2;0;0;0;0;0;1;5;0;0;2626;15245;54,97;1,41;2
613;46;38;20;2;33;15;4;47;14;42;2;31;4;1359;846;2;0;0;5;9;7;5;0;0;27;1;0;19;21;0;15986;20936;53,45;1,56;2
614;15;11;8;1;11;6;2;21;17;3;2;13;1;381;275;2;0;0;6;4;5;4;0;0;14;0;0;8;3;0;4714;21624;53,59;1,67;2
615;64;57;21;5;40;27;12;40;31;38;1;49;3;2784;1659;2;0;1;7;4;6;2;2;0;29;0;1;18;28;9;13583;22826;47,5;1,86;2
616;0;0;0;0;0;0;0;0;0;0;0;0;0;592;518;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5317;0;0;0;2
617;26;22;12;1;14;15;6;31;22;0;2;22;1;2065;1438;2;0;0;1;2;1;4;2;0;6;0;0;15;13;0;11381;25341;50,06;2,17;2
618;48;46;16;4;33;21;9;59;26;25;1;43;2;2784;1659;2;0;1;8;5;11;3;2;0;23;0;1;24;26;9;11381;23428;44,09;1,97;2
619;32;26;22;2;30;10;2;26;41;7;1;21;4;1615;1180;2;0;0;6;5;6;3;2;4;40;2;0;4;8;2;371;17153;52,33;1,44;2
620;101;81;34;21;64;43;15;267;8;172;10;73;9;1859;1153;2;0;7;37;75;14;36;18;5;182;0;6;24;37;20;19290;19722;46,15;1,4;2
621;32;29;16;2;23;14;5;18;16;21;1;26;1;1288;925;2;0;1;11;7;6;9;3;1;22;0;0;2;27;3;6138;21147;52,49;1,82;2
622;19;16;10;1;13;4;1;22;9;20;0;11;2;576;317;0;2;0;0;4;6;0;2;1;5;2;1;5;6;6;6545;17751;48,02;1,73;2
623;30;28;6;3;20;13;6;88;9;33;0;28;3;2074;1291;2;0;0;9;1;2;0;3;1;44;1;0;19;21;14;35879;23020;40,32;1,91;2
624;48;43;37;3;23;12;4;47;16;37;6;40;2;1409;935;2;0;2;11;13;4;4;2;1;32;0;0;4;5;0;6265;19497;43,6;1,96;2
625;105;80;35;21;63;45;16;279;8;165;10;72;9;3181;1929;2;0;7;39;79;19;37;21;5;182;1;6;26;27;5;19290;19722;47,18;1,41;2
626;0;0;0;0;0;0;0;257;1;0;0;0;0;2663;753;2;0;0;10;6;0;1;0;1;5;0;0;9;20;0;520;0;35;0;2
627;25;22;7;4;18;12;10;18;11;19;0;28;5;376;243;2;0;0;2;1;0;1;0;0;9;0;0;14;2;0;6992;22667;40,57;1,88;2
628;22;18;12;1;17;7;2;23;15;15;4;16;2;1102;702;2;0;1;8;7;8;5;2;0;32;0;3;5;12;0;5912;18693;50,56;1,56;2
629;25;24;12;1;21;7;1;21;20;15;0;18;3;896;798;2;0;0;0;2;1;0;1;0;6;0;0;23;6;2;9440;20587;47,68;1,7;2
630;6;6;4;1;7;2;0;4;6;2;1;7;1;310;301;2;0;1;0;0;0;0;1;0;1;0;0;2;2;0;852;20585;47,41;1,77;2
631;82;71;32;20;59;35;12;245;9;139;10;70;9;806;697;2;0;6;37;75;12;37;18;5;177;0;6;30;39;21;19290;19191;43,26;1,41;2
